elements,integration,mode,frequency_hz,eb_limit_hz,relative_to_eb
8,full,1,58.284630933416466,4.112608826205702,14.172179605807523
8,full,2,371.76867139233656,25.7732795706714,14.424577608485233
8,full,3,1082.3578596485909,72.16592909100358,14.998183675896454
8,reduced,1,4.120235781439754,4.112608826205702,1.0018545297051966
8,reduced,2,26.77947360190036,25.7732795706714,1.0390402016347953
8,reduced,3,80.6739125654817,72.16592909100358,1.1178947403801769
16,full,1,29.384111758481907,4.112608826205702,7.144883697969331
16,full,2,184.96783767775315,25.7732795706714,7.1767287966036175
16,full,3,523.2413186741711,72.16592909100358,7.25053117537428
16,reduced,1,4.114481048650219,4.112608826205702,1.0004552396115542
16,reduced,2,26.01838996732127,25.7732795706714,1.0095102525069721
16,reduced,3,74.16262003735228,72.16592909100358,1.0276680557085438
32,full,1,15.120537111014,4.112608826205702,3.6766290571243623
32,full,2,94.85643881121221,25.7732795706714,3.6804178742993083
32,full,3,266.25201915551855,72.16592909100358,3.6894421302297116
32,reduced,1,4.113017316919798,4.112608826205702,1.0000993264206148
32,reduced,2,25.831633035268837,25.7732795706714,1.0022641070740506
32,reduced,3,72.64040310311282,72.16592909100358,1.0065747648244217
64,full,1,8.357504468522981,4.112608826205702,2.0321661557667823
64,full,2,52.384415808511974,25.7732795706714,2.032508733119188
64,full,3,146.74684037331215,72.16592909100358,2.0334642984816234
64,reduced,1,4.112649324675433,4.112608826205702,1.0000098473916297
64,reduced,2,25.785164810571164,25.7732795706714,1.0004611458106127
64,reduced,3,72.2661844466181,72.16592909100358,1.0013892339068773
80,full,1,7.126829762503107,4.112608826205702,1.7329218663079924
80,full,2,44.6659849673096,25.7732795706714,1.733034588975517
80,full,3,125.09502995864688,72.16592909100358,1.7334361454821428
80,reduced,1,4.112605184983762,4.112608826205702,0.999999114619918
80,reduced,2,25.779594535307254,25.7732795706714,1.000245019832208
80,reduced,3,72.2214468861661,72.16592909100358,1.000769307564689
